nl                        ,en             ,Part of Speech ,Notes              ,Related                    ,
de artiest                ,artist         ,Noun           ,                   ,                           ,
net zo                    ,as             ,Conjunction    ,                   ,                           ,
Bij                       ,at             ,Conjunction    ,                   ,.                          
de aanval                 ,attack         ,Noun           ,                   ,                           ,
de attentie               ,attention      ,Noun           ,                   ,                           ,
de tante                  ,aunt           ,Noun           ,                   ,                           ,
de weg                    ,away           ,Noun           ,                   ,                           ,
de auteur                 ,author         ,Noun           ,                   ,                           ,
de baby                   ,baby           ,Noun           ,                   ,                           ,
de rug                    ,back           ,Noun           ,body               ,                           ,
de rug                    ,back           ,Noun           ,direction          ,                           ,
de slechte                ,bad            ,Noun           ,                   ,"worse, worst"             ,
de tas                    ,bag            ,Noun           ,                   ,                           ,
de bal                    ,ball           ,Noun           ,                   ,                           ,
de banaan                 ,banana         ,Noun           ,                   ,                           ,
de band                   ,band           ,Noun           ,music              ,                           ,
de bank                   ,bank           ,Noun           ,                   ,                           ,
de bar                    ,bar            ,Noun           ,Location           ,                           ,
de basis                  ,base           ,Noun           ,                   ,                           ,
de vleermuis              ,bat            ,Noun           ,                   ,                           ,
de badkamer               ,bathroom       ,Noun           ,                   ,                           ,
het strand                ,beach          ,Noun           ,                   ,                           ,
de beer                   ,bear           ,Noun           ,                   ,                           ,
de baard                  ,beard          ,Noun           ,                   ,                           ,
de mooie                  ,beautiful      ,Noun           ,                   ,                           ,
het bed                   ,bed            ,Noun           ,                   ,                           ,
de slaapkamer             ,bedroom        ,Noun           ,                   ,                           ,
de bij                    ,bee            ,Noun           ,                   ,                           ,
het rundvlees             ,beef           ,Noun           ,                   ,                           ,
het bier                  ,beer           ,Noun           ,                   ,                           ,
voordat                   ,before         ,Preposition    ,                   ,                           ,
achter                    ,behind         ,Preposition    ,                   ,                           ,
de bel                    ,bell           ,Noun           ,                   ,                           ,
de buik                   ,belly          ,Noun           ,                   ,                           ,
de drank                  ,beverage       ,Noun           ,                   ,                           ,
de fiets                  ,bicycle        ,Noun           ,                   ,                           ,
de grote/grote            ,big/large      ,Noun           ,                   ,                           ,
de rekening               ,bill           ,Noun           ,                   ,                           ,
de miljard                ,billion        ,Noun           ,                   ,                           ,
de vogel                  ,bird           ,Noun           ,                   ,                           ,
de verjaardag             ,birthday       ,Noun           ,                   ,                           ,
het zwart                 ,black          ,Noun           ,                   ,                           ,
Blind                     ,blind          ,Adjective      ,                   ,                           ,
het blok                  ,block          ,Noun           ,                   ,                           ,
het bloed                 ,blood          ,Noun           ,                   ,                           ,
de wind                   ,blow           ,Noun           ,                   ,                           ,
blauw                     ,blue           ,Adjective      ,                   ,                           ,
de boot                   ,boat           ,Noun           ,                   ,                           ,
het lichaam               ,body           ,Noun           ,                   ,                           ,
het bot                   ,bone           ,Noun           ,                   ,                           ,
het boek                  ,book           ,Noun           ,                   ,                           ,
de grens                  ,border         ,Noun           ,                   ,                           ,
de fles                   ,bottle         ,Noun           ,                   ,                           ,
de onderkant              ,bottom         ,Noun           ,                   ,                           ,
de kom                    ,bowl           ,Noun           ,                   ,                           ,
de doos                   ,box            ,Noun           ,                   ,                           ,
de jongen                 ,boy            ,Noun           ,                   ,                           ,
het vriendje              ,boyfriend      ,Noun           ,                   ,                           ,
de hersenen               ,brain          ,Noun           ,                   ,                           ,
het brood                 ,bread          ,Noun           ,                   ,                           ,
het ontbijt               ,breakfast      ,Noun           ,                   ,                           ,
de brug                   ,bridge         ,Noun           ,                   ,                           ,
de broer                  ,brother        ,Noun           ,                   ,                           ,
de bruine                 ,brown          ,Noun           ,                   ,                           ,
het gebouw                ,building       ,Noun           ,                   ,                           ,
de bus                    ,bus            ,Noun           ,                   ,                           ,
maar                      ,but            ,Conjunction    ,                   ,                           ,
de taart                  ,cake           ,Noun           ,                   ,                           ,
de camera                 ,camera         ,Noun           ,                   ,                           ,
het kamp                  ,camp           ,Noun           ,                   ,                           ,
kan                       ,can            ,Verb           ,                   ,                           ,
de kaars                  ,candle         ,Noun           ,                   ,                           ,
de pet                    ,cap            ,Noun           ,                   ,                           ,
de auto                   ,car            ,Noun           ,                   ,                           ,
de kaart                  ,card           ,Noun           ,                   ,                           ,
de carrière               ,career         ,Noun           ,                   ,                           ,
de wortel                 ,carrot         ,Noun           ,                   ,                           ,
de kat                    ,cat            ,Noun           ,                   ,                           ,
het plafond               ,ceiling        ,Noun           ,                   ,                           ,
de cel                    ,cell           ,Noun           ,                   ,                           ,
de cent                   ,cent           ,Noun           ,                   ,                           ,
het centrum               ,center         ,Noun           ,                   ,                           ,
de eeuw                   ,century        ,Noun           ,                   ,                           ,
de centimeter             ,centimeter     ,Noun           ,                   ,                           ,
zeker                     ,certain        ,Adjective      ,                   ,                           ,
de stoel                  ,chair          ,Noun           ,                   ,                           ,
de goedkope               ,cheap          ,Noun           ,                   ,                           ,
de kaas                   ,cheese         ,Noun           ,                   ,                           ,
de kip                    ,chicken        ,Noun           ,                   ,                           ,
het kind                  ,child          ,Noun           ,                   ,                           ,
de kin                    ,chin           ,Noun           ,                   ,                           ,
de kerk                   ,church         ,Noun           ,                   ,                           ,
de cirkel                 ,circle         ,Noun           ,                   ,                           ,
de stad                   ,city           ,Noun           ,                   ,                           ,
de klei                   ,clay           ,Noun           ,                   ,                           ,
de klas                   ,class          ,Noun           ,                   ,                           ,
schoon                    ,clean          ,Adjective      ,                   ,                           ,
de klok                   ,clock          ,Noun           ,                   ,                           ,
dichtbij                  ,close          ,Adverb         ,                   ,                           ,
de kleding                ,clothing       ,Noun           ,                   ,clothes                    ,
de klok                   ,clock          ,Noun           ,                   ,                           ,
de doek                   ,cloth          ,Noun           ,                   ,                           ,
de wolk                   ,cloud          ,Noun           ,                   ,                           ,
de club                   ,club           ,Noun           ,location           ,                           ,
de jas                    ,coat           ,Noun           ,                   ,                           ,
de koffie                 ,coffee         ,Noun           ,                   ,                           ,
de kou                    ,cold           ,Noun           ,                   ,                           ,
de kleur                  ,color          ,Noun           ,                   ,                           ,
het comite                ,committee      ,Noun           ,                   ,                           ,
het bedrijf               ,company        ,Noun           ,                   ,                           ,
de computer               ,computer       ,Noun           ,                   ,                           ,
het complex               ,complex        ,Noun           ,                   ,                           ,
de medeklinker            ,consonant      ,Noun           ,                   ,                           ,
de conditie               ,condition      ,Noun           ,                   ,                           ,
het contract              ,contract       ,Noun           ,                   ,                           ,
koel                      ,cool           ,Adjective      ,                   ,                           ,
het koper                 ,copper         ,Noun           ,                   ,                           ,
de maïs                   ,corn           ,Noun           ,                   ,                           ,
de hoek                   ,corner         ,Noun           ,                   ,                           ,
het land                  ,country        ,Noun           ,(e.g. USA & Spain) ,                           ,
de rechtbank              ,court          ,Noun           ,                   ,                           ,
de omslag                 ,cover          ,Noun           ,                   ,                           ,
de koe                    ,cow            ,Noun           ,                   ,                           ,
het publiek               ,crowd          ,Noun           ,                   ,                           ,
de beker                  ,cup            ,Noun           ,                   ,                           ,
de gebogen                ,curved         ,Noun           ,                   ,                           ,
schattig                  ,cute           ,Adjective      ,                   ,                           ,
de vader                  ,dad            ,Noun           ,                   ,Daddy                      ,
het donker                ,dark           ,Noun           ,                   ,                           ,
de datum                  ,date           ,Noun           ,e.g. May 7         ,                           ,
de dochter                ,daughter       ,Noun           ,                   ,                           ,
de dag                    ,day            ,Noun           ,                   ,                           ,
de dood                   ,dead           ,Noun           ,                   ,                           ,
de doven                  ,deaf           ,Noun           ,                   ,                           ,
de dood                   ,death          ,Noun           ,                   ,                           ,
de diepte                 ,deep           ,Noun           ,                   ,                           ,
de diamant                ,diamond        ,Noun           ,                   ,                           ,
het avondeten             ,dinner         ,Noun           ,                   ,                           ,
de richting               ,direction      ,Noun           ,                   ,                           ,
de vuile                  ,dirty          ,Noun           ,                   ,                           ,
de ziekte                 ,disease        ,Noun           ,                   ,                           ,
de dokter                 ,doctor         ,Noun           ,                   ,                           ,
de hond                   ,dog            ,Noun           ,                   ,                           ,
de dollar                 ,dollar         ,Noun           ,                   ,                           ,
de deur                   ,door           ,Noun           ,                   ,                           ,
de punt                   ,dot            ,Noun           ,                   ,                           ,
omlaag                    ,down           ,Preposition    ,                   ,                           ,
de droom                  ,dream          ,Noun           ,                   ,                           ,
de jurk                   ,dress          ,Noun           ,                   ,                           ,
De drugs                  ,drug           ,Noun           ,                   ,                           ,
de droge                  ,dry            ,Noun           ,                   ,                           ,
het stof                  ,dust           ,Noun           ,                   ,                           ,
het oor                   ,ear            ,Noun           ,                   ,                           ,
het oosten                ,east           ,Noun           ,                   ,                           ,
de rand                   ,edge           ,Noun           ,                   ,                           ,
het ei                    ,egg            ,Noun           ,                   ,                           ,
de acht                   ,eight          ,Noun           ,                   ,                           ,
de achttien               ,eighteen       ,Noun           ,                   ,                           ,
de tachtig                ,eighty         ,Noun           ,                   ,                           ,
of                        ,either         ,Adverb         ,                   ,                           ,
de verkiezing             ,election       ,Noun           ,                   ,                           ,
de elektronica            ,electronics    ,Noun           ,                   ,                           ,
de elf                    ,eleven         ,Noun           ,                   ,                           ,
de energie                ,energy         ,Noun           ,                   ,                           ,
de motor                  ,engine         ,Noun           ,                   ,                           ,
de avond                  ,evening        ,Noun           ,                   ,                           ,
het alles                 ,everything     ,Noun           ,                   ,                           ,
het bewijs                ,evidence       ,Noun           ,                   ,                           ,
de oefening               ,exercise       ,Noun           ,                   ,                           ,
de dure                   ,expensive      ,Noun           ,                   ,                           ,
het oog                   ,eye            ,Noun           ,                   ,                           ,
het gezicht               ,face           ,Noun           ,                   ,                           ,
de val                    ,fall           ,Noun           ,season             ,                           ,
de familie                ,family         ,Noun           ,                   ,                           ,
de beroemde               ,famous         ,Noun           ,                   ,                           ,
de ventilator             ,fan            ,Noun           ,electric           ,                           ,
de ventilator             ,fan            ,Noun           ,sport              ,                           ,
ver                       ,far            ,Adverb         ,                   ,                           ,
de boerderij              ,farm           ,Noun           ,                   ,                           ,
de snelle                 ,fast           ,Noun           ,                   ,                           ,
de vader                  ,father         ,Noun           ,                   ,                           ,
de vrouwelijke            ,female         ,Noun           ,                   ,                           ,
de vijftien               ,fifteen        ,Noun           ,                   ,                           ,
de vijfde                 ,fifth          ,Noun           ,5th                ,                           ,
de vijftig                ,fifty          ,Noun           ,                   ,                           ,
de vinger                 ,finger         ,Noun           ,                   ,                           ,
het vuur                  ,fire           ,Noun           ,                   ,                           ,
de eerste                 ,first          ,Noun           ,1st                ,                           ,
de vis                    ,fish           ,Noun           ,                   ,                           ,
de vijf                   ,five           ,Noun           ,                   ,                           ,
vlak                      ,flat           ,Adjective      ,                   ,                           ,
de vloer                  ,floor          ,Noun           ,                   ,                           ,
de bloem                  ,flower         ,Noun           ,                   ,                           ,
het eten                  ,food           ,Noun           ,                   ,                           ,
de voet                   ,foot           ,Noun           ,body part          ,                           ,
de voet                   ,foot           ,Noun           ,measurement        ,                           ,
het bos                   ,forest         ,Noun           ,                   ,                           ,
de vork                   ,fork           ,Noun           ,                   ,                           ,
de veertig                ,forty          ,Noun           ,                   ,                           ,
de vier                   ,four           ,Noun           ,                   ,                           ,
de veertien               ,fourteen       ,Noun           ,                   ,                           ,
de vierde                 ,fourth         ,Noun           ,4th                ,                           ,
de vriend                 ,friend         ,Noun           ,                   ,                           ,
de voorkant               ,front          ,Noun           ,                   ,                           ,
het spel                  ,game           ,Noun           ,                   ,                           ,
de tuin                   ,garden         ,Noun           ,                   ,                           ,
de benzine                ,gasoline       ,Noun           ,                   ,                           ,
het geschenk              ,gift           ,Noun           ,                   ,                           ,
het meisje                ,girl           ,Noun           ,                   ,                           ,
de vriendin               ,girlfriend     ,Noun           ,                   ,                           ,
het glas                  ,glass          ,Noun           ,                   ,                           ,
het goud                  ,gold           ,Noun           ,                   ,                           ,
de goede                  ,good           ,Noun           ,                   ,"better, best"             ,
de opa                    ,grandfather    ,Noun           ,                   ,                           ,
de grootmoeder            ,grandmother    ,Noun           ,                   ,                           ,
het gras                  ,grass          ,Noun           ,                   ,                           ,
de grijze                 ,gray           ,Noun           ,                   ,                           ,
de groene                 ,green          ,Noun           ,                   ,                           ,
de grond                  ,ground         ,Noun           ,                   ,                           ,
het geweer                ,gun            ,Noun           ,                   ,                           ,
het haar                  ,hair           ,Noun           ,                   ,                           ,
de helft                  ,half           ,Noun           ,                   ,                           ,
de hand                   ,hand           ,Noun           ,                   ,                           ,
de blije                  ,happy          ,Noun           ,                   ,                           ,
de hard                   ,hard           ,Noun           ,                   ,                           ,
de hoed                   ,hat            ,Noun           ,                   ,                           ,
hij                       ,he             ,Pronoun        ,                   ,"his, him, himself"        ,
het hoofd                 ,head           ,Noun           ,                   ,                           ,
de gezonde                ,healthy        ,Noun           ,                   ,                           ,
het horen                 ,hear           ,Noun           ,a sound            ,                           ,
het hart                  ,heart          ,Noun           ,                   ,                           ,
de hitte                  ,heat           ,Noun           ,                   ,                           ,
de hemel                  ,heaven         ,Noun           ,                   ,                           ,
de zware                  ,heavy          ,Noun           ,                   ,                           ,
de hel                    ,hell           ,Noun           ,                   ,                           ,
de hoge                   ,high           ,Noun           ,                   ,                           ,
de heuvel                 ,hill           ,Noun           ,                   ,                           ,
het gat                   ,hole           ,Noun           ,                   ,                           ,
het paard                 ,horse          ,Noun           ,                   ,                           ,
het ziekenhuis            ,hospital       ,Noun           ,                   ,                           ,
de hete                   ,hot            ,Noun           ,                   ,                           ,
het hotel                 ,hotel          ,Noun           ,                   ,                           ,
het uur                   ,hour           ,Noun           ,                   ,                           ,
het huis                  ,house          ,Noun           ,                   ,                           ,
de mens                   ,human          ,Noun           ,                   ,                           ,
de honderd                ,hundred        ,Noun           ,                   ,                           ,
de man                    ,husband        ,Noun           ,                   ,                           ,
het ijs                   ,ice            ,Noun           ,                   ,                           ,
De afbeelding             ,image          ,Noun           ,                   ,                           ,
de inch                   ,inch           ,Noun           ,                   ,                           ,
De verwonding             ,injury         ,Noun           ,                   ,                           ,
de binnenkant             ,inside         ,Noun           ,                   ,                           ,
het instrument            ,instrument     ,Noun           ,musical            ,                           ,
interessant               ,interesting    ,Adjective      ,                   ,                           ,
het eiland                ,island         ,Noun           ,                   ,                           ,
de het                    ,it             ,Noun           ,                   ,                           ,
de baan                   ,job            ,Noun           ,                   ,                           ,
de rechter                ,judge          ,Noun           ,Job                ,                           ,
het sap                   ,juice          ,Noun           ,                   ,                           ,
de sleutel                ,key            ,Noun           ,                   ,                           ,
de kilogram               ,kilogram       ,Noun           ,                   ,                           ,
de koning                 ,king           ,Noun           ,                   ,                           ,
de keuken                 ,kitchen        ,Noun           ,                   ,                           ,
de knie                   ,knee           ,Noun           ,                   ,                           ,
het mes                   ,knife          ,Noun           ,                   ,                           ,
het meer                  ,lake           ,Noun           ,                   ,                           ,
de lamp                   ,lamp           ,Noun           ,                   ,                           ,
de laptop                 ,laptop         ,Noun           ,                   ,                           ,
de advocaat               ,lawyer         ,Noun           ,                   ,                           ,
het blad                  ,leaf           ,Noun           ,                   ,                           ,
links                     ,left           ,Noun           ,direction          ,                           ,
het been                  ,leg            ,Noun           ,                   ,                           ,
de citroen                ,lemon          ,Noun           ,                   ,                           ,
de brief                  ,letter         ,Noun           ,                   ,                           ,
de bibliotheek            ,library        ,Noun           ,                   ,                           ,
de leugen                 ,lie            ,Noun           ,                   ,                           ,
licht                     ,light          ,Adjective      ,/dark              ,                           ,
licht                     ,light          ,Adjective      ,/heavy             ,                           ,
het licht                 ,light          ,Noun           ,                   ,                           ,
de lip                    ,lip            ,Noun           ,                   ,                           ,
de lijst                  ,list           ,Noun           ,                   ,                           ,
de locatie                ,location       ,Noun           ,                   ,                           ,
het slot                  ,lock           ,Noun           ,                   ,                           ,
de lange                  ,long           ,Noun           ,                   ,                           ,
de losse                  ,loose          ,Noun           ,                   ,                           ,
de luide                  ,loud           ,Noun           ,                   ,                           ,
het lage                  ,low            ,Noun           ,                   ,                           ,
de lunch                  ,lunch          ,Noun           ,                   ,                           ,
het tijdschrift           ,magazine       ,Noun           ,                   ,                           ,
de man                    ,male           ,Noun           ,                   ,                           ,
de man                    ,man            ,Noun           ,                   ,                           ,
de bedrijfsleider         ,manager        ,Noun           ,                   ,                           ,
de kaart                  ,map            ,Noun           ,                   ,                           ,
de markt                  ,market         ,Noun           ,                   ,                           ,
het huwelijk              ,marriage       ,Noun           ,                   ,                           ,
het materiaal             ,material       ,Noun           ,                   ,                           ,
de betekenis              ,mean           ,Noun           ,/nice              ,                           ,
het medicijn              ,medicine       ,Noun           ,                   ,                           ,
de rotzooi                ,mess           ,Noun           ,                   ,                           ,
het metaal                ,metal          ,Noun           ,                   ,                           ,
de meter                  ,meter          ,Noun           ,                   ,                           ,
de melk                   ,milk           ,Noun           ,                   ,                           ,
het miljoen               ,million        ,Noun           ,                   ,                           ,
de minuut                 ,minute         ,Noun           ,                   ,                           ,
de moeder                 ,mom            ,Noun           ,                   ,Mommy                      ,
het geld                  ,money          ,Noun           ,                   ,                           ,
de maand                  ,month          ,Noun           ,                   ,                           ,
de maan                   ,moon           ,Noun           ,                   ,                           ,
de ochtend                ,morning        ,Noun           ,                   ,                           ,
de moeder                 ,mother         ,Noun           ,                   ,                           ,
de berg                   ,mountain       ,Noun           ,                   ,                           ,
de muis                   ,mouse          ,Noun           ,                   ,                           ,
de mond                   ,mouth          ,Noun           ,                   ,                           ,
de film                   ,movie          ,Noun           ,                   ,                           ,
de moord                  ,murder         ,Noun           ,                   ,                           ,
de muziek                 ,music          ,Noun           ,                   ,                           ,
de smalle                 ,narrow         ,Noun           ,                   ,                           ,
de natuur                 ,nature         ,Noun           ,                   ,                           ,
in de buurt               ,near           ,Adverb         ,                   ,                           ,
de nek                    ,neck           ,Noun           ,                   ,                           ,
de naald                  ,needle         ,Noun           ,                   ,                           ,
de buurman                ,neighbor       ,Noun           ,                   ,                           ,
geen van beide            ,neither        ,Adverb         ,                   ,                           ,
het netwerk               ,network        ,Noun           ,                   ,                           ,
de nieuwe                 ,new            ,Noun           ,                   ,                           ,
de krant                  ,newspaper      ,Noun           ,                   ,                           ,
de leuke                  ,nice           ,Noun           ,                   ,                           ,
de nacht                  ,night          ,Noun           ,                   ,                           ,
de negen                  ,nine           ,Noun           ,                   ,                           ,
de negentien              ,nineteen       ,Noun           ,                   ,                           ,
de negentig               ,ninety         ,Noun           ,                   ,                           ,
de nee                    ,no             ,Noun           ,                   ,                           ,
noch                      ,nor            ,Conjunction    ,                   ,                           ,
het noorden               ,north          ,Noun           ,                   ,                           ,
de neus                   ,nose           ,Noun           ,                   ,                           ,
de notitie                ,note           ,Noun           ,on paper           ,                           ,
het niets                 ,nothing        ,Noun           ,                   ,                           ,
de nucleaire              ,nuclear        ,Noun           ,                   ,                           ,
het nummer                ,number         ,Noun           ,                   ,                           ,
de oceaan                 ,ocean          ,Noun           ,                   ,                           ,
het kantoor               ,office         ,Noun           ,                   ,                           ,
de olie                   ,oil            ,Noun           ,                   ,                           ,
de oude                   ,old            ,Noun           ,/new               ,                           ,
de oude                   ,old            ,Noun           ,/young             ,                           ,
degene                    ,one            ,Noun           ,                   ,                           ,
de honderd                ,one hundred    ,Noun           ,                   ,                           ,
die ene miljoen           ,one million    ,Noun           ,                   ,                           ,
de duizend                ,one thousand   ,Noun           ,                   ,                           ,
of                        ,or             ,Conjunction    ,                   ,                           ,
De sinaasappel            ,orange         ,Noun           ,color              ,                           ,
De sinaasappel            ,orange         ,Noun           ,food               ,                           ,
buiten                    ,outside        ,Noun           ,                   ,                           ,
de pagina                 ,page           ,Noun           ,                   ,                           ,
de pijn                   ,pain           ,Noun           ,                   ,                           ,
de verf                   ,paint          ,Noun           ,                   ,                           ,
de broek                  ,pants          ,Noun           ,                   ,                           ,
de krant                  ,paper          ,Noun           ,                   ,                           ,
de ouder                  ,parent         ,Noun           ,                   ,                           ,
het park                  ,park           ,Noun           ,location           ,                           ,
de patient                ,patient        ,Noun           ,                   ,                           ,
het patroon               ,pattern        ,Noun           ,                   ,                           ,
de vrede                  ,peace          ,Noun           ,                   ,                           ,
de pen                    ,pen            ,Noun           ,                   ,                           ,
het potlood               ,pencil         ,Noun           ,                   ,                           ,
de persoon                ,person         ,Noun           ,                   ,                           ,
de telefoon               ,phone          ,Noun           ,                   ,                           ,
de foto                   ,photograph     ,Noun           ,                   ,                           ,
het stuk                  ,piece          ,Noun           ,                   ,                           ,
het varken                ,pig            ,Noun           ,                   ,                           ,
de roze                   ,pink           ,Noun           ,                   ,                           ,
het plan                  ,plan           ,Noun           ,                   ,                           ,
het vliegtuig             ,plane          ,Noun           ,                   ,                           ,
de plant                  ,plant          ,Noun           ,                   ,                           ,
het plastic               ,plastic        ,Noun           ,                   ,                           ,
het bord                  ,plate          ,Noun           ,                   ,                           ,
de speler                 ,player         ,Noun           ,                   ,                           ,
de zak                    ,pocket         ,Noun           ,                   ,                           ,
het vergif                ,poison         ,Noun           ,                   ,                           ,
de politie                ,police         ,Noun           ,                   ,                           ,
het zwembad               ,pool           ,Noun           ,                   ,                           ,
de armen                  ,poor           ,Noun           ,                   ,                           ,
het varkensvlees          ,pork           ,Noun           ,                   ,                           ,
mogelijk                  ,possibly       ,Adverb         ,                   ,                           ,
de pond                   ,pound          ,Noun           ,weight             ,                           ,
de president              ,president      ,Noun           ,                   ,                           ,
de prijs                  ,price          ,Noun           ,                   ,                           ,
de priester               ,priest         ,Noun           ,                   ,                           ,
de gevangenis             ,prison         ,Noun           ,                   ,                           ,
privaat                   ,private        ,Adjective      ,                   ,                           ,
het programma             ,program        ,Noun           ,computer           ,                           ,
openbaar                  ,public         ,Adjective      ,                   ,                           ,
de koningin               ,queen          ,Noun           ,                   ,                           ,
de stilte                 ,quiet          ,Noun           ,                   ,                           ,
de race                   ,race           ,Noun           ,ethnicity          ,                           ,
de race                   ,race           ,Noun           ,sport              ,                           ,
de radio                  ,radio          ,Noun           ,                   ,                           ,
de regen                  ,rain           ,Noun           ,                   ,                           ,
het Rode                  ,red            ,Noun           ,                   ,                           ,
het geloof                ,religion       ,Noun           ,                   ,                           ,
de verslaggever           ,reporter       ,Noun           ,                   ,                           ,
het restaurant            ,restaurant     ,Noun           ,                   ,                           ,
de rijst                  ,rice           ,Noun           ,                   ,                           ,
de rijke                  ,rich           ,Noun           ,                   ,                           ,
het recht                 ,right          ,Noun           ,direction          ,                           ,
de ring                   ,ring           ,Noun           ,                   ,                           ,
de rivier                 ,river          ,Noun           ,                   ,                           ,
het dak                   ,roof           ,Noun           ,                   ,                           ,
de Kamer                  ,room           ,Noun           ,in a house         ,                           ,
de wortel                 ,root           ,Noun           ,                   ,                           ,
het trieste               ,sad            ,Noun           ,                   ,                           ,
het zout                  ,salt           ,Noun           ,                   ,                           ,
het zand                  ,sand           ,Noun           ,                   ,                           ,
de school                 ,school         ,Noun           ,                   ,                           ,
de wetenschap             ,science        ,Noun           ,                   ,                           ,
het scherm                ,screen         ,Noun           ,                   ,                           ,
de zee                    ,sea            ,Noun           ,                   ,                           ,
het seizoen               ,season         ,Noun           ,                   ,                           ,
de seconde                ,second         ,Noun           ,2nd                ,                           ,
de seconde                ,second         ,Noun           ,time               ,                           ,
de secretaris             ,secretary      ,Noun           ,                   ,                           ,
het zaad                  ,seed           ,Noun           ,                   ,                           ,
de zeven                  ,seven          ,Noun           ,                   ,                           ,
de zeventien              ,seventeen      ,Noun           ,                   ,                           ,
de zeventig               ,seventy        ,Noun           ,                   ,                           ,
de seks                   ,sex            ,Noun           ,act                ,                           ,
de seks                   ,sex            ,Noun           ,gender             ,                           ,
het ondiepe               ,shallow        ,Noun           ,                   ,                           ,
de zij                    ,she            ,Noun           ,                   ,"her, hers, herself"       ,
het schip                 ,ship           ,Noun           ,                   ,                           ,
het shirt                 ,shirt          ,Noun           ,                   ,                           ,
de schoenen               ,shoes          ,Noun           ,                   ,                           ,
kort                      ,short          ,Adjective      ,long               ,                           ,
kort                      ,short          ,Adjective      ,vs. tall           ,                           ,
de schouder               ,shoulder       ,Noun           ,                   ,                           ,
de zieke                  ,sick           ,Noun           ,                   ,                           ,
de kant                   ,side           ,Noun           ,                   ,                           ,
het teken                 ,sign           ,Noun           ,                   ,                           ,
het zilver                ,silver         ,Noun           ,                   ,                           ,
de zus                    ,sister         ,Noun           ,                   ,                           ,
De zes                    ,six            ,Noun           ,                   ,                           ,
de zestien                ,sixteen        ,Noun           ,                   ,                           ,
de zestig                 ,sixty          ,Noun           ,                   ,                           ,
de huid                   ,skin           ,Noun           ,                   ,                           ,
de rok                    ,skirt          ,Noun           ,                   ,                           ,
de lucht                  ,sky            ,Noun           ,                   ,                           ,
de langzamen              ,slow           ,Noun           ,                   ,                           ,
het kleine/kleine         ,small/little   ,Noun           ,                   ,                           ,
de sneeuw                 ,snow           ,Noun           ,                   ,                           ,
de zeep                   ,soap           ,Noun           ,                   ,                           ,
zacht                     ,soft           ,Noun           ,                   ,                           ,
de bodem/aarde            ,soil/earth     ,Noun           ,                   ,                           ,
de soldaat                ,soldier        ,Noun           ,                   ,                           ,
de zoon                   ,son            ,Noun           ,                   ,                           ,
het lied                  ,song           ,Noun           ,                   ,                           ,
het geluid                ,sound          ,Noun           ,                   ,                           ,
de soep                   ,soup           ,Noun           ,                   ,                           ,
het zuiden                ,south          ,Noun           ,                   ,                           ,
de ruimte                 ,space          ,Noun           ,outer space        ,                           ,
de lepel                  ,spoon          ,Noun           ,                   ,                           ,
de sport                  ,sport          ,Noun           ,                   ,                           ,
de lente                  ,spring         ,Noun           ,season             ,                           ,
