pt                ,en             ,Part of Speech ,Notes              ,Related                    ,
o urso            ,bear           ,Noun           ,                   ,                           ,
a barba           ,beard          ,Noun           ,                   ,                           ,
o lindo           ,beautiful      ,Noun           ,                   ,                           ,
a cama            ,bed            ,Noun           ,                   ,                           ,
o quarto          ,bedroom        ,Noun           ,                   ,                           ,
a abelha          ,bee            ,Noun           ,                   ,                           ,
O bife            ,beef           ,Noun           ,                   ,                           ,
A cerveja         ,beer           ,Noun           ,                   ,                           ,
antes da          ,before         ,Preposition    ,                   ,                           ,
atras do          ,behind         ,Preposition    ,                   ,                           ,
o sino            ,bell           ,Noun           ,                   ,                           ,
a barriga         ,belly          ,Noun           ,                   ,                           ,
a bebida          ,beverage       ,Noun           ,                   ,                           ,
a bicicleta       ,bicycle        ,Noun           ,                   ,                           ,
o grande/grande   ,big/large      ,Noun           ,                   ,                           ,
a conta           ,bill           ,Noun           ,                   ,                           ,
o bilhão          ,billion        ,Noun           ,                   ,                           ,
o pássaro         ,bird           ,Noun           ,                   ,                           ,
o aniversário     ,birthday       ,Noun           ,                   ,                           ,
o preto           ,black          ,Noun           ,                   ,                           ,
cego              ,blind          ,Adjective      ,                   ,                           ,
o bloco           ,block          ,Noun           ,                   ,                           ,
o sangue          ,blood          ,Noun           ,                   ,                           ,
o golpe           ,blow           ,Noun           ,                   ,                           ,
azul              ,blue           ,Adjective      ,                   ,                           ,
o barco           ,boat           ,Noun           ,                   ,                           ,
o corpo           ,body           ,Noun           ,                   ,                           ,
O osso            ,bone           ,Noun           ,                   ,                           ,
o livro           ,book           ,Noun           ,                   ,                           ,
a fronteira       ,border         ,Noun           ,                   ,                           ,
a garrafa         ,bottle         ,Noun           ,                   ,                           ,
o fundo           ,bottom         ,Noun           ,                   ,                           ,
a tigela          ,bowl           ,Noun           ,                   ,                           ,
a Caixa           ,box            ,Noun           ,                   ,                           ,
o menino          ,boy            ,Noun           ,                   ,                           ,
o namorado        ,boyfriend      ,Noun           ,                   ,                           ,
o cérebro         ,brain          ,Noun           ,                   ,                           ,
o pão             ,bread          ,Noun           ,                   ,                           ,
o café da manhã   ,breakfast      ,Noun           ,                   ,                           ,
a Ponte           ,bridge         ,Noun           ,                   ,                           ,
o irmão           ,brother        ,Noun           ,                   ,                           ,
o marrom          ,brown          ,Noun           ,                   ,                           ,
o edifício        ,building       ,Noun           ,                   ,                           ,
o ônibus          ,bus            ,Noun           ,                   ,                           ,
mas               ,but            ,Conjunction    ,                   ,                           ,
o bolo            ,cake           ,Noun           ,                   ,                           ,
a câmera          ,camera         ,Noun           ,                   ,                           ,
o campo           ,camp           ,Noun           ,                   ,                           ,
posso             ,can            ,Verb           ,                   ,                           ,
a vela            ,candle         ,Noun           ,                   ,                           ,
o boné            ,cap            ,Noun           ,                   ,                           ,
o carro           ,car            ,Noun           ,                   ,                           ,
o cartão          ,card           ,Noun           ,                   ,                           ,
a carreira        ,career         ,Noun           ,                   ,                           ,
A cenoura         ,carrot         ,Noun           ,                   ,                           ,
o gato            ,cat            ,Noun           ,                   ,                           ,
o teto            ,ceiling        ,Noun           ,                   ,                           ,
a célula          ,cell           ,Noun           ,                   ,                           ,
o centavo         ,cent           ,Noun           ,                   ,                           ,
o Centro          ,center         ,Noun           ,                   ,                           ,
o século          ,century        ,Noun           ,                   ,                           ,
o centímetro      ,centimeter     ,Noun           ,                   ,                           ,
certo             ,certain        ,Adjective      ,                   ,                           ,
a cadeira         ,chair          ,Noun           ,                   ,                           ,
o barato          ,cheap          ,Noun           ,                   ,                           ,
o queijo          ,cheese         ,Noun           ,                   ,                           ,
a galinha         ,chicken        ,Noun           ,                   ,                           ,
a criança         ,child          ,Noun           ,                   ,                           ,
o queixo          ,chin           ,Noun           ,                   ,                           ,
a Igreja          ,church         ,Noun           ,                   ,                           ,
o circulo         ,circle         ,Noun           ,                   ,                           ,
a cidade          ,city           ,Noun           ,                   ,                           ,
o barro           ,clay           ,Noun           ,                   ,                           ,
a classe          ,class          ,Noun           ,                   ,                           ,
limpar            ,clean          ,Adjective      ,                   ,                           ,
o relógio         ,clock          ,Noun           ,                   ,                           ,
perto             ,close          ,Adverb         ,                   ,                           ,
a roupa           ,clothing       ,Noun           ,                   ,clothes                    ,
o relógio         ,clock          ,Noun           ,                   ,                           ,
a roupa           ,cloth          ,Noun           ,                   ,                           ,
a nuvem           ,cloud          ,Noun           ,                   ,                           ,
o clube           ,club           ,Noun           ,location           ,                           ,
o casaco          ,coat           ,Noun           ,                   ,                           ,
o café            ,coffee         ,Noun           ,                   ,                           ,
o frio            ,cold           ,Noun           ,                   ,                           ,
a cor             ,color          ,Noun           ,                   ,                           ,
o Comitê          ,committee      ,Noun           ,                   ,                           ,
a empresa         ,company        ,Noun           ,                   ,                           ,
o computador      ,computer       ,Noun           ,                   ,                           ,
o complexo        ,complex        ,Noun           ,                   ,                           ,
a consoante       ,consonant      ,Noun           ,                   ,                           ,
a condição        ,condition      ,Noun           ,                   ,                           ,
o contrato        ,contract       ,Noun           ,                   ,                           ,
legal             ,cool           ,Adjective      ,                   ,                           ,
o cobre           ,copper         ,Noun           ,                   ,                           ,
o milho           ,corn           ,Noun           ,                   ,                           ,
a esquina         ,corner         ,Noun           ,                   ,                           ,
o país            ,country        ,Noun           ,(e.g. USA & Spain) ,                           ,
O tribunal        ,court          ,Noun           ,                   ,                           ,
a capa            ,cover          ,Noun           ,                   ,                           ,
a vaca            ,cow            ,Noun           ,                   ,                           ,
a multidão        ,crowd          ,Noun           ,                   ,                           ,
a xícara          ,cup            ,Noun           ,                   ,                           ,
o curvo           ,curved         ,Noun           ,                   ,                           ,
bonitinho         ,cute           ,Adjective      ,                   ,                           ,
o pai             ,dad            ,Noun           ,                   ,Daddy                      ,
o escuro          ,dark           ,Noun           ,                   ,                           ,
a data            ,date           ,Noun           ,e.g. May 7         ,                           ,
a filha           ,daughter       ,Noun           ,                   ,                           ,
o dia             ,day            ,Noun           ,                   ,                           ,
o morto           ,dead           ,Noun           ,                   ,                           ,
o surdo           ,deaf           ,Noun           ,                   ,                           ,
a morte           ,death          ,Noun           ,                   ,                           ,
o profundo        ,deep           ,Noun           ,                   ,                           ,
o diamante        ,diamond        ,Noun           ,                   ,                           ,
o jantar          ,dinner         ,Noun           ,                   ,                           ,
a direção         ,direction      ,Noun           ,                   ,                           ,
a sujeira         ,dirty          ,Noun           ,                   ,                           ,
a doença          ,disease        ,Noun           ,                   ,                           ,
o médico          ,doctor         ,Noun           ,                   ,                           ,
o cachorro        ,dog            ,Noun           ,                   ,                           ,
o dólar           ,dollar         ,Noun           ,                   ,                           ,
a porta           ,door           ,Noun           ,                   ,                           ,
o ponto           ,dot            ,Noun           ,                   ,                           ,
baixa             ,down           ,Preposition    ,                   ,                           ,
o sonho           ,dream          ,Noun           ,                   ,                           ,
o vestido         ,dress          ,Noun           ,                   ,                           ,
a droga           ,drug           ,Noun           ,                   ,                           ,
O seco            ,dry            ,Noun           ,                   ,                           ,
a poeira          ,dust           ,Noun           ,                   ,                           ,
a orelha          ,ear            ,Noun           ,                   ,                           ,
o leste           ,east           ,Noun           ,                   ,                           ,
A beira           ,edge           ,Noun           ,                   ,                           ,
o ovo             ,egg            ,Noun           ,                   ,                           ,
os oito           ,eight          ,Noun           ,                   ,                           ,
os dezoito        ,eighteen       ,Noun           ,                   ,                           ,
os oitenta        ,eighty         ,Noun           ,                   ,                           ,
qualquer          ,either         ,Adverb         ,                   ,                           ,
a eleição         ,election       ,Noun           ,                   ,                           ,
a eletrônica      ,electronics    ,Noun           ,                   ,                           ,
os onze           ,eleven         ,Noun           ,                   ,                           ,
a energia         ,energy         ,Noun           ,                   ,                           ,
o motor           ,engine         ,Noun           ,                   ,                           ,
a noite           ,evening        ,Noun           ,                   ,                           ,
o tudo            ,everything     ,Noun           ,                   ,                           ,
a evidência       ,evidence       ,Noun           ,                   ,                           ,
o exercício       ,exercise       ,Noun           ,                   ,                           ,
o caro            ,expensive      ,Noun           ,                   ,                           ,
o olho            ,eye            ,Noun           ,                   ,                           ,
o rosto           ,face           ,Noun           ,                   ,                           ,
a queda           ,fall           ,Noun           ,season             ,                           ,
a família         ,family         ,Noun           ,                   ,                           ,
o famoso          ,famous         ,Noun           ,                   ,                           ,
o fã              ,fan            ,Noun           ,electric           ,                           ,
o fã              ,fan            ,Noun           ,sport              ,                           ,
distante          ,far            ,Adverb         ,                   ,                           ,
a Fazenda         ,farm           ,Noun           ,                   ,                           ,
o rápido          ,fast           ,Noun           ,                   ,                           ,
o pai             ,father         ,Noun           ,                   ,                           ,
a fêmea           ,female         ,Noun           ,                   ,                           ,
os quinze         ,fifteen        ,Noun           ,                   ,                           ,
o quinto          ,fifth          ,Noun           ,5th                ,                           ,
os cinquenta      ,fifty          ,Noun           ,                   ,                           ,
o dedo            ,finger         ,Noun           ,                   ,                           ,
o fogo            ,fire           ,Noun           ,                   ,                           ,
o primeiro        ,first          ,Noun           ,1st                ,                           ,
o Peixe           ,fish           ,Noun           ,                   ,                           ,
os cinco          ,five           ,Noun           ,                   ,                           ,
apartamento       ,flat           ,Adjective      ,                   ,                           ,
o chão            ,floor          ,Noun           ,                   ,                           ,
a flor            ,flower         ,Noun           ,                   ,                           ,
a comida          ,food           ,Noun           ,                   ,                           ,
o pé              ,foot           ,Noun           ,body part          ,                           ,
o pé              ,foot           ,Noun           ,measurement        ,                           ,
a floresta        ,forest         ,Noun           ,                   ,                           ,
o garfo           ,fork           ,Noun           ,                   ,                           ,
os quarenta       ,forty          ,Noun           ,                   ,                           ,
os quatro         ,four           ,Noun           ,                   ,                           ,
os quatorze       ,fourteen       ,Noun           ,                   ,                           ,
o quarto          ,fourth         ,Noun           ,4th                ,                           ,
o amigo           ,friend         ,Noun           ,                   ,                           ,
a frente          ,front          ,Noun           ,                   ,                           ,
o jogo            ,game           ,Noun           ,                   ,                           ,
o Jardim          ,garden         ,Noun           ,                   ,                           ,
a gasolina        ,gasoline       ,Noun           ,                   ,                           ,
o presente        ,gift           ,Noun           ,                   ,                           ,
a garota          ,girl           ,Noun           ,                   ,                           ,
a namorada        ,girlfriend     ,Noun           ,                   ,                           ,
o vidro           ,glass          ,Noun           ,                   ,                           ,
o ouro            ,gold           ,Noun           ,                   ,                           ,
o bom             ,good           ,Noun           ,                   ,"better, best"             ,
o avô             ,grandfather    ,Noun           ,                   ,                           ,
a avó             ,grandmother    ,Noun           ,                   ,                           ,
a grama           ,grass          ,Noun           ,                   ,                           ,
o cinza           ,gray           ,Noun           ,                   ,                           ,
o verde           ,green          ,Noun           ,                   ,                           ,
o chão            ,ground         ,Noun           ,                   ,                           ,
a arma            ,gun            ,Noun           ,                   ,                           ,
o cabelo          ,hair           ,Noun           ,                   ,                           ,
a metade          ,half           ,Noun           ,                   ,                           ,
a mão             ,hand           ,Noun           ,                   ,                           ,
o feliz           ,happy          ,Noun           ,                   ,                           ,
o difícil         ,hard           ,Noun           ,                   ,                           ,
o chapéu          ,hat            ,Noun           ,                   ,                           ,
ele               ,he             ,Pronoun        ,                   ,"his, him, himself"        ,
a cabeça          ,head           ,Noun           ,                   ,                           ,
o saudável        ,healthy        ,Noun           ,                   ,                           ,
o ouvir           ,hear           ,Noun           ,a sound            ,                           ,
o coração         ,heart          ,Noun           ,                   ,                           ,
o calor           ,heat           ,Noun           ,                   ,                           ,
o céu             ,heaven         ,Noun           ,                   ,                           ,
o pesado          ,heavy          ,Noun           ,                   ,                           ,
o inferno         ,hell           ,Noun           ,                   ,                           ,
o alto            ,high           ,Noun           ,                   ,                           ,
a colina          ,hill           ,Noun           ,                   ,                           ,
o buraco          ,hole           ,Noun           ,                   ,                           ,
o cavalo          ,horse          ,Noun           ,                   ,                           ,
o hospital        ,hospital       ,Noun           ,                   ,                           ,
o calor           ,hot            ,Noun           ,                   ,                           ,
o hotel           ,hotel          ,Noun           ,                   ,                           ,
a hora            ,hour           ,Noun           ,                   ,                           ,
a casa            ,house          ,Noun           ,                   ,                           ,
o humano          ,human          ,Noun           ,                   ,                           ,
os cem            ,hundred        ,Noun           ,                   ,                           ,
o marido          ,husband        ,Noun           ,                   ,                           ,
o gelo            ,ice            ,Noun           ,                   ,                           ,
a imagem          ,image          ,Noun           ,                   ,                           ,
a polegada        ,inch           ,Noun           ,                   ,                           ,
a lesão           ,injury         ,Noun           ,                   ,                           ,
o interior        ,inside         ,Noun           ,                   ,                           ,
o instrumento     ,instrument     ,Noun           ,musical            ,                           ,
interessante      ,interesting    ,Adjective      ,                   ,                           ,
a ilha            ,island         ,Noun           ,                   ,                           ,
a coisa           ,it             ,Noun           ,                   ,                           ,
o emprego         ,job            ,Noun           ,                   ,                           ,
o juiz            ,judge          ,Noun           ,Job                ,                           ,
o suco            ,juice          ,Noun           ,                   ,                           ,
a chave           ,key            ,Noun           ,                   ,                           ,
o quilograma      ,kilogram       ,Noun           ,                   ,                           ,
o rei             ,king           ,Noun           ,                   ,                           ,
a cozinha         ,kitchen        ,Noun           ,                   ,                           ,
o joelho          ,knee           ,Noun           ,                   ,                           ,
a faca            ,knife          ,Noun           ,                   ,                           ,
o lago            ,lake           ,Noun           ,                   ,                           ,
a lâmpada         ,lamp           ,Noun           ,                   ,                           ,
o laptop          ,laptop         ,Noun           ,                   ,                           ,
O advogado        ,lawyer         ,Noun           ,                   ,                           ,
a folha           ,leaf           ,Noun           ,                   ,                           ,
a esquerda        ,left           ,Noun           ,direction          ,                           ,
a perna           ,leg            ,Noun           ,                   ,                           ,
o limão           ,lemon          ,Noun           ,                   ,                           ,
a carta           ,letter         ,Noun           ,                   ,                           ,
a biblioteca      ,library        ,Noun           ,                   ,                           ,
a mentira         ,lie            ,Noun           ,                   ,                           ,
leve              ,light          ,Adjective      ,/dark              ,                           ,
leve              ,light          ,Adjective      ,/heavy             ,                           ,
a luz             ,light          ,Noun           ,                   ,                           ,
o lábio           ,lip            ,Noun           ,                   ,                           ,
a lista           ,list           ,Noun           ,                   ,                           ,
a localização     ,location       ,Noun           ,                   ,                           ,
a fechadura       ,lock           ,Noun           ,                   ,                           ,
o longo           ,long           ,Noun           ,                   ,                           ,
o solto           ,loose          ,Noun           ,                   ,                           ,
o alto            ,loud           ,Noun           ,                   ,                           ,
o menor           ,low            ,Noun           ,                   ,                           ,
O almoço          ,lunch          ,Noun           ,                   ,                           ,
a revista         ,magazine       ,Noun           ,                   ,                           ,
o masculino       ,male           ,Noun           ,                   ,                           ,
o homem           ,man            ,Noun           ,                   ,                           ,
o gerente         ,manager        ,Noun           ,                   ,                           ,
o mapa            ,map            ,Noun           ,                   ,                           ,
o mercado         ,market         ,Noun           ,                   ,                           ,
o casamento       ,marriage       ,Noun           ,                   ,                           ,
o material        ,material       ,Noun           ,                   ,                           ,
O significativo   ,mean           ,Noun           ,/nice              ,                           ,
o remédio         ,medicine       ,Noun           ,                   ,                           ,
a confusão        ,mess           ,Noun           ,                   ,                           ,
o metal           ,metal          ,Noun           ,                   ,                           ,
o medidor         ,meter          ,Noun           ,                   ,                           ,
o leite           ,milk           ,Noun           ,                   ,                           ,
o milhão          ,million        ,Noun           ,                   ,                           ,
O minuto          ,minute         ,Noun           ,                   ,                           ,
a mãe             ,mom            ,Noun           ,                   ,Mommy                      ,
o dinheiro        ,money          ,Noun           ,                   ,                           ,
o mês             ,month          ,Noun           ,                   ,                           ,
a lua             ,moon           ,Noun           ,                   ,                           ,
a manhã           ,morning        ,Noun           ,                   ,                           ,
a mãe             ,mother         ,Noun           ,                   ,                           ,
a montanha        ,mountain       ,Noun           ,                   ,                           ,
o rato            ,mouse          ,Noun           ,                   ,                           ,
a boca            ,mouth          ,Noun           ,                   ,                           ,
o filme           ,movie          ,Noun           ,                   ,                           ,
o assassinato     ,murder         ,Noun           ,                   ,                           ,
a música          ,music          ,Noun           ,                   ,                           ,
o estreito        ,narrow         ,Noun           ,                   ,                           ,
a natureza        ,nature         ,Noun           ,                   ,                           ,
aproximar         ,near           ,Adverb         ,                   ,                           ,
o pescoço         ,neck           ,Noun           ,                   ,                           ,
a agulha          ,needle         ,Noun           ,                   ,                           ,
a vizinha         ,neighbor       ,Noun           ,                   ,                           ,
nenhum            ,neither        ,Adverb         ,                   ,                           ,
a rede            ,network        ,Noun           ,                   ,                           ,
o novo            ,new            ,Noun           ,                   ,                           ,
o jornal          ,newspaper      ,Noun           ,                   ,                           ,
o bom             ,nice           ,Noun           ,                   ,                           ,
a noite           ,night          ,Noun           ,                   ,                           ,
os nove           ,nine           ,Noun           ,                   ,                           ,
os dezenove       ,nineteen       ,Noun           ,                   ,                           ,
os noventa        ,ninety         ,Noun           ,                   ,                           ,
o não             ,no             ,Noun           ,                   ,                           ,
nem               ,nor            ,Conjunction    ,                   ,                           ,
o norte           ,north          ,Noun           ,                   ,                           ,
o nariz           ,nose           ,Noun           ,                   ,                           ,
a anotação        ,note           ,Noun           ,on paper           ,                           ,
o nada            ,nothing        ,Noun           ,                   ,                           ,
o nuclear         ,nuclear        ,Noun           ,                   ,                           ,
o número          ,number         ,Noun           ,                   ,                           ,
o oceano          ,ocean          ,Noun           ,                   ,                           ,
o escritório      ,office         ,Noun           ,                   ,                           ,
o óleo            ,oil            ,Noun           ,                   ,                           ,
o velho           ,old            ,Noun           ,/new               ,                           ,
o velho           ,old            ,Noun           ,/young             ,                           ,
único             ,one            ,Noun           ,                   ,                           ,
os cem            ,one hundred    ,Noun           ,                   ,                           ,
o um milhão       ,one million    ,Noun           ,                   ,                           ,
os mil            ,one thousand   ,Noun           ,                   ,                           ,
ou                ,or             ,Conjunction    ,                   ,                           ,
a laranja         ,orange         ,Noun           ,color              ,                           ,
a laranja         ,orange         ,Noun           ,food               ,                           ,
o lado de fora    ,outside        ,Noun           ,                   ,                           ,
a página          ,page           ,Noun           ,                   ,                           ,
a dor             ,pain           ,Noun           ,                   ,                           ,
a pintura         ,paint          ,Noun           ,                   ,                           ,
as calças         ,pants          ,Noun           ,                   ,                           ,
o papel           ,paper          ,Noun           ,                   ,                           ,
o pai             ,parent         ,Noun           ,                   ,                           ,
o Parque          ,park           ,Noun           ,location           ,                           ,
o paciente        ,patient        ,Noun           ,                   ,                           ,
o padrão          ,pattern        ,Noun           ,                   ,                           ,
a paz             ,peace          ,Noun           ,                   ,                           ,
a caneta          ,pen            ,Noun           ,                   ,                           ,
o lápis           ,pencil         ,Noun           ,                   ,                           ,
a pessoa          ,person         ,Noun           ,                   ,                           ,
o telefone        ,phone          ,Noun           ,                   ,                           ,
a foto            ,photograph     ,Noun           ,                   ,                           ,
a peça            ,piece          ,Noun           ,                   ,                           ,
o porco           ,pig            ,Noun           ,                   ,                           ,
o rosa            ,pink           ,Noun           ,                   ,                           ,
o plano           ,plan           ,Noun           ,                   ,                           ,
o avião           ,plane          ,Noun           ,                   ,                           ,
a planta          ,plant          ,Noun           ,                   ,                           ,
o plástico        ,plastic        ,Noun           ,                   ,                           ,
o prato           ,plate          ,Noun           ,                   ,                           ,
o jogador         ,player         ,Noun           ,                   ,                           ,
o bolso           ,pocket         ,Noun           ,                   ,                           ,
O veneno          ,poison         ,Noun           ,                   ,                           ,
a polícia         ,police         ,Noun           ,                   ,                           ,
a piscina         ,pool           ,Noun           ,                   ,                           ,
os pobres         ,poor           ,Noun           ,                   ,                           ,
O porco           ,pork           ,Noun           ,                   ,                           ,
possivelmente     ,possibly       ,Adverb         ,                   ,                           ,
a libra           ,pound          ,Noun           ,weight             ,                           ,
o presidente      ,president      ,Noun           ,                   ,                           ,
o preço           ,price          ,Noun           ,                   ,                           ,
o padre           ,priest         ,Noun           ,                   ,                           ,
a prisão          ,prison         ,Noun           ,                   ,                           ,
privado           ,private        ,Adjective      ,                   ,                           ,
o programa        ,program        ,Noun           ,computer           ,                           ,
público           ,public         ,Adjective      ,                   ,                           ,
a rainha          ,queen          ,Noun           ,                   ,                           ,
o quieto          ,quiet          ,Noun           ,                   ,                           ,
a corrida         ,race           ,Noun           ,ethnicity          ,                           ,
a corrida         ,race           ,Noun           ,sport              ,                           ,
o rádio           ,radio          ,Noun           ,                   ,                           ,
a chuva           ,rain           ,Noun           ,                   ,                           ,
o vermelho        ,red            ,Noun           ,                   ,                           ,
a religião        ,religion       ,Noun           ,                   ,                           ,
o repórter        ,reporter       ,Noun           ,                   ,                           ,
o restaurante     ,restaurant     ,Noun           ,                   ,                           ,
o arroz           ,rice           ,Noun           ,                   ,                           ,
o rico            ,rich           ,Noun           ,                   ,                           ,
o certo           ,right          ,Noun           ,direction          ,                           ,
o anel            ,ring           ,Noun           ,                   ,                           ,
o Rio             ,river          ,Noun           ,                   ,                           ,
o telhado         ,roof           ,Noun           ,                   ,                           ,
a sala            ,room           ,Noun           ,in a house         ,                           ,
a raiz            ,root           ,Noun           ,                   ,                           ,
a tristeza        ,sad            ,Noun           ,                   ,                           ,
o sal             ,salt           ,Noun           ,                   ,                           ,
a areia           ,sand           ,Noun           ,                   ,                           ,
a escola          ,school         ,Noun           ,                   ,                           ,
a ciência         ,science        ,Noun           ,                   ,                           ,
a tela            ,screen         ,Noun           ,                   ,                           ,
o mar             ,sea            ,Noun           ,                   ,                           ,
a Estação         ,season         ,Noun           ,                   ,                           ,
o segundo         ,second         ,Noun           ,2nd                ,                           ,
o segundo         ,second         ,Noun           ,time               ,                           ,
a secretária      ,secretary      ,Noun           ,                   ,                           ,
a semente         ,seed           ,Noun           ,                   ,                           ,
os sete           ,seven          ,Noun           ,                   ,                           ,
os dezessete      ,seventeen      ,Noun           ,                   ,                           ,
os setenta        ,seventy        ,Noun           ,                   ,                           ,
o sexo            ,sex            ,Noun           ,act                ,                           ,
o sexo            ,sex            ,Noun           ,gender             ,                           ,
o raso            ,shallow        ,Noun           ,                   ,                           ,
ela               ,she            ,Noun           ,                   ,"her, hers, herself"       ,
o navio           ,ship           ,Noun           ,                   ,                           ,
a camisa          ,shirt          ,Noun           ,                   ,                           ,
os sapatos        ,shoes          ,Noun           ,                   ,                           ,
curto             ,short          ,Adjective      ,long               ,                           ,
curto             ,short          ,Adjective      ,vs. tall           ,                           ,
o ombro           ,shoulder       ,Noun           ,                   ,                           ,
o doente          ,sick           ,Noun           ,                   ,                           ,
o lado            ,side           ,Noun           ,                   ,                           ,
o sinal           ,sign           ,Noun           ,                   ,                           ,
a prata           ,silver         ,Noun           ,                   ,                           ,
a irmã            ,sister         ,Noun           ,                   ,                           ,
os seis           ,six            ,Noun           ,                   ,                           ,
os dezesseis      ,sixteen        ,Noun           ,                   ,                           ,
os sessenta       ,sixty          ,Noun           ,                   ,                           ,
a pele            ,skin           ,Noun           ,                   ,                           ,
a saia            ,skirt          ,Noun           ,                   ,                           ,
o céu             ,sky            ,Noun           ,                   ,                           ,
o lento           ,slow           ,Noun           ,                   ,                           ,
o pequeno/pequeno ,small/little   ,Noun           ,                   ,                           ,
a neve            ,snow           ,Noun           ,                   ,                           ,
o sabão           ,soap           ,Noun           ,                   ,                           ,
O macio           ,soft           ,Noun           ,                   ,                           ,
o solo/terra      ,soil/earth     ,Noun           ,                   ,                           ,
o soldado         ,soldier        ,Noun           ,                   ,                           ,
o filho           ,son            ,Noun           ,                   ,                           ,
a música          ,song           ,Noun           ,                   ,                           ,
o som             ,sound          ,Noun           ,                   ,                           ,
a sopa            ,soup           ,Noun           ,                   ,                           ,
o sul             ,south          ,Noun           ,                   ,                           ,
o espaço          ,space          ,Noun           ,outer space        ,                           ,
a colher          ,spoon          ,Noun           ,                   ,                           ,
o desporto        ,sport          ,Noun           ,                   ,                           ,
a primavera       ,spring         ,Noun           ,season             ,                           ,
o quadrado        ,square         ,Noun           ,                   ,                           ,
a mancha          ,stain          ,Noun           ,                   ,                           ,
a estrela         ,star           ,Noun           ,                   ,                           ,
a estação         ,station        ,Noun           ,                   ,                           ,
a pedra           ,stone          ,Noun           ,                   ,                           ,
a loja/loja       ,store/shop     ,Noun           ,                   ,                           ,
o reto            ,straight       ,Noun           ,                   ,                           ,
a rua/estrada     ,street/road    ,Noun           ,                   ,                           ,
O forte           ,strong         ,Noun           ,                   ,                           ,
o estudante       ,student        ,Noun           ,                   ,                           ,
o açúcar          ,sugar          ,Noun           ,                   ,                           ,
o terno           ,suit           ,Noun           ,                   ,                           ,
O Verão           ,summer         ,Noun           ,                   ,                           ,
o sol             ,sun            ,Noun           ,                   ,                           ,
