ar                   ,en             ,Part of Speech ,Notes              ,Related                    ,
العشاء               ,dinner         ,Noun           ,                   ,                           ,
الاتجاه              ,direction      ,Noun           ,                   ,                           ,
القذر                ,dirty          ,Noun           ,                   ,                           ,
المرض                ,disease        ,Noun           ,                   ,                           ,
الطبيب               ,doctor         ,Noun           ,                   ,                           ,
الكلب                ,dog            ,Noun           ,                   ,                           ,
الدولار              ,dollar         ,Noun           ,                   ,                           ,
الباب                ,door           ,Noun           ,                   ,                           ,
النقطة               ,dot            ,Noun           ,                   ,                           ,
أسفل                 ,down           ,Preposition    ,                   ,                           ,
الحلم                ,dream          ,Noun           ,                   ,                           ,
اللباس               ,dress          ,Noun           ,                   ,                           ,
المخدرات             ,drug           ,Noun           ,                   ,                           ,
الجاف                ,dry            ,Noun           ,                   ,                           ,
الغبار               ,dust           ,Noun           ,                   ,                           ,
الأذن                ,ear            ,Noun           ,                   ,                           ,
الشرق                ,east           ,Noun           ,                   ,                           ,
الحافة               ,edge           ,Noun           ,                   ,                           ,
البيضة               ,egg            ,Noun           ,                   ,                           ,
الثمانية             ,eight          ,Noun           ,                   ,                           ,
الثمانية عشر         ,eighteen       ,Noun           ,                   ,                           ,
الثمانين             ,eighty         ,Noun           ,                   ,                           ,
أيضاً                ,either         ,Adverb         ,                   ,                           ,
الانتخابات           ,election       ,Noun           ,                   ,                           ,
الالكترونيات         ,electronics    ,Noun           ,                   ,                           ,
الأحد عشر            ,eleven         ,Noun           ,                   ,                           ,
الطاقة               ,energy         ,Noun           ,                   ,                           ,
المحرك               ,engine         ,Noun           ,                   ,                           ,
المساء               ,evening        ,Noun           ,                   ,                           ,
كل شيء               ,everything     ,Noun           ,                   ,                           ,
الدليل               ,evidence       ,Noun           ,                   ,                           ,
التمرين              ,exercise       ,Noun           ,                   ,                           ,
باهظ الثمن           ,expensive      ,Noun           ,                   ,                           ,
العين                ,eye            ,Noun           ,                   ,                           ,
الوجه                ,face           ,Noun           ,                   ,                           ,
السقوط               ,fall           ,Noun           ,season             ,                           ,
العائلة              ,family         ,Noun           ,                   ,                           ,
الشهير               ,famous         ,Noun           ,                   ,                           ,
المروحة              ,fan            ,Noun           ,electric           ,                           ,
المروحة              ,fan            ,Noun           ,sport              ,                           ,
بعيد                 ,far            ,Adverb         ,                   ,                           ,
المزرعة              ,farm           ,Noun           ,                   ,                           ,
الصوم                ,fast           ,Noun           ,                   ,                           ,
الأب                 ,father         ,Noun           ,                   ,                           ,
الأنثى               ,female         ,Noun           ,                   ,                           ,
الخمسة عشر           ,fifteen        ,Noun           ,                   ,                           ,
الخامس               ,fifth          ,Noun           ,5th                ,                           ,
الخمسين              ,fifty          ,Noun           ,                   ,                           ,
الاصبع               ,finger         ,Noun           ,                   ,                           ,
النار                ,fire           ,Noun           ,                   ,                           ,
الأول                ,first          ,Noun           ,1st                ,                           ,
السمكة               ,fish           ,Noun           ,                   ,                           ,
الخمسة               ,five           ,Noun           ,                   ,                           ,
مسطحة                ,flat           ,Adjective      ,                   ,                           ,
الارضية              ,floor          ,Noun           ,                   ,                           ,
الوردة               ,flower         ,Noun           ,                   ,                           ,
الطعام               ,food           ,Noun           ,                   ,                           ,
القدم                ,foot           ,Noun           ,body part          ,                           ,
القدم                ,foot           ,Noun           ,measurement        ,                           ,
الغابة               ,forest         ,Noun           ,                   ,                           ,
الشوكة               ,fork           ,Noun           ,                   ,                           ,
الأربعين             ,forty          ,Noun           ,                   ,                           ,
الأربعة              ,four           ,Noun           ,                   ,                           ,
الأربعة عشر          ,fourteen       ,Noun           ,                   ,                           ,
الرابع               ,fourth         ,Noun           ,4th                ,                           ,
الصديق               ,friend         ,Noun           ,                   ,                           ,
المقدمة              ,front          ,Noun           ,                   ,                           ,
اللعبة               ,game           ,Noun           ,                   ,                           ,
الحديقة              ,garden         ,Noun           ,                   ,                           ,
البنزين              ,gasoline       ,Noun           ,                   ,                           ,
الهديه               ,gift           ,Noun           ,                   ,                           ,
الفتاة               ,girl           ,Noun           ,                   ,                           ,
الصديقة              ,girlfriend     ,Noun           ,                   ,                           ,
الزجاج               ,glass          ,Noun           ,                   ,                           ,
الذهب                ,gold           ,Noun           ,                   ,                           ,
الخير                ,good           ,Noun           ,                   ,"better, best"             ,
الجد                 ,grandfather    ,Noun           ,                   ,                           ,
الجدة                ,grandmother    ,Noun           ,                   ,                           ,
العشب                ,grass          ,Noun           ,                   ,                           ,
الرمادي              ,gray           ,Noun           ,                   ,                           ,
الاخضر               ,green          ,Noun           ,                   ,                           ,
الارض                ,ground         ,Noun           ,                   ,                           ,
البندقية             ,gun            ,Noun           ,                   ,                           ,
الشعر                ,hair           ,Noun           ,                   ,                           ,
النصف                ,half           ,Noun           ,                   ,                           ,
اليد                 ,hand           ,Noun           ,                   ,                           ,
السعيد               ,happy          ,Noun           ,                   ,                           ,
الصعب                ,hard           ,Noun           ,                   ,                           ,
القبعة               ,hat            ,Noun           ,                   ,                           ,
هو                   ,he             ,Pronoun        ,                   ,"his, him, himself"        ,
الرأس                ,head           ,Noun           ,                   ,                           ,
الصحي                ,healthy        ,Noun           ,                   ,                           ,
السمع                ,hear           ,Noun           ,a sound            ,                           ,
القلب                ,heart          ,Noun           ,                   ,                           ,
الحرارة              ,heat           ,Noun           ,                   ,                           ,
الجنة                ,heaven         ,Noun           ,                   ,                           ,
الثقيل               ,heavy          ,Noun           ,                   ,                           ,
الجحيم               ,hell           ,Noun           ,                   ,                           ,
العالي               ,high           ,Noun           ,                   ,                           ,
التل                 ,hill           ,Noun           ,                   ,                           ,
الفتحة               ,hole           ,Noun           ,                   ,                           ,
الحصان               ,horse          ,Noun           ,                   ,                           ,
المستشفى             ,hospital       ,Noun           ,                   ,                           ,
الساخنة              ,hot            ,Noun           ,                   ,                           ,
الفندق               ,hotel          ,Noun           ,                   ,                           ,
ساعة                 ,hour           ,Noun           ,                   ,                           ,
المنزل               ,house          ,Noun           ,                   ,                           ,
الانسان              ,human          ,Noun           ,                   ,                           ,
المائة               ,hundred        ,Noun           ,                   ,                           ,
الزوج                ,husband        ,Noun           ,                   ,                           ,
الجليد               ,ice            ,Noun           ,                   ,                           ,
الصورة               ,image          ,Noun           ,                   ,                           ,
البوصة               ,inch           ,Noun           ,                   ,                           ,
الجرح                ,injury         ,Noun           ,                   ,                           ,
الداخل               ,inside         ,Noun           ,                   ,                           ,
الآلة                ,instrument     ,Noun           ,musical            ,                           ,
مثير للإعجاب         ,interesting    ,Adjective      ,                   ,                           ,
الجزيرة              ,island         ,Noun           ,                   ,                           ,
عليه                 ,it             ,Noun           ,                   ,                           ,
العمل                ,job            ,Noun           ,                   ,                           ,
القاضي               ,judge          ,Noun           ,Job                ,                           ,
العصير               ,juice          ,Noun           ,                   ,                           ,
المفتاح              ,key            ,Noun           ,                   ,                           ,
الكيلوغرام           ,kilogram       ,Noun           ,                   ,                           ,
الملك                ,king           ,Noun           ,                   ,                           ,
المطبخ               ,kitchen        ,Noun           ,                   ,                           ,
الركبة               ,knee           ,Noun           ,                   ,                           ,
السكين               ,knife          ,Noun           ,                   ,                           ,
البحيرة              ,lake           ,Noun           ,                   ,                           ,
المصباح              ,lamp           ,Noun           ,                   ,                           ,
الكمبيوتر المحمول    ,laptop         ,Noun           ,                   ,                           ,
المحامي              ,lawyer         ,Noun           ,                   ,                           ,
ورقة شجر             ,leaf           ,Noun           ,                   ,                           ,
اليسار               ,left           ,Noun           ,direction          ,                           ,
الساق                ,leg            ,Noun           ,                   ,                           ,
الليمون              ,lemon          ,Noun           ,                   ,                           ,
الرسالة              ,letter         ,Noun           ,                   ,                           ,
المكتبة              ,library        ,Noun           ,                   ,                           ,
الكذبة               ,lie            ,Noun           ,                   ,                           ,
خفيفة                ,light          ,Adjective      ,/dark              ,                           ,
خفيفة                ,light          ,Adjective      ,/heavy             ,                           ,
الضوء                ,light          ,Noun           ,                   ,                           ,
الشفة                ,lip            ,Noun           ,                   ,                           ,
القائمة              ,list           ,Noun           ,                   ,                           ,
الموقع               ,location       ,Noun           ,                   ,                           ,
القفل                ,lock           ,Noun           ,                   ,                           ,
الطويل               ,long           ,Noun           ,                   ,                           ,
فضفاضة               ,loose          ,Noun           ,                   ,                           ,
بصوت عال             ,loud           ,Noun           ,                   ,                           ,
الأقل                ,low            ,Noun           ,                   ,                           ,
الغداء               ,lunch          ,Noun           ,                   ,                           ,
المجلة               ,magazine       ,Noun           ,                   ,                           ,
الذكور               ,male           ,Noun           ,                   ,                           ,
الرجل                ,man            ,Noun           ,                   ,                           ,
المدير               ,manager        ,Noun           ,                   ,                           ,
الخريطة              ,map            ,Noun           ,                   ,                           ,
السوق                ,market         ,Noun           ,                   ,                           ,
الزواج               ,marriage       ,Noun           ,                   ,                           ,
المادة               ,material       ,Noun           ,                   ,                           ,
المعنى               ,mean           ,Noun           ,/nice              ,                           ,
الدواء               ,medicine       ,Noun           ,                   ,                           ,
الفوضى               ,mess           ,Noun           ,                   ,                           ,
المعدن               ,metal          ,Noun           ,                   ,                           ,
المتر                ,meter          ,Noun           ,                   ,                           ,
الحليب               ,milk           ,Noun           ,                   ,                           ,
المليون              ,million        ,Noun           ,                   ,                           ,
الدقيقة              ,minute         ,Noun           ,                   ,                           ,
الأم                 ,mom            ,Noun           ,                   ,Mommy                      ,
المال                ,money          ,Noun           ,                   ,                           ,
الشهر                ,month          ,Noun           ,                   ,                           ,
القمر                ,moon           ,Noun           ,                   ,                           ,
الصباح               ,morning        ,Noun           ,                   ,                           ,
الأم                 ,mother         ,Noun           ,                   ,                           ,
الجبل                ,mountain       ,Noun           ,                   ,                           ,
الفأر                ,mouse          ,Noun           ,                   ,                           ,
الفم                 ,mouth          ,Noun           ,                   ,                           ,
الفيلم               ,movie          ,Noun           ,                   ,                           ,
القاتل               ,murder         ,Noun           ,                   ,                           ,
الموسيقى             ,music          ,Noun           ,                   ,                           ,
الضيق                ,narrow         ,Noun           ,                   ,                           ,
الطبيعة              ,nature         ,Noun           ,                   ,                           ,
قرب                  ,near           ,Adverb         ,                   ,                           ,
الرقبة               ,neck           ,Noun           ,                   ,                           ,
الإبرة               ,needle         ,Noun           ,                   ,                           ,
الجار                ,neighbor       ,Noun           ,                   ,                           ,
لا هذا ولا ذاك       ,neither        ,Adverb         ,                   ,                           ,
الشبكة               ,network        ,Noun           ,                   ,                           ,
الجديد               ,new            ,Noun           ,                   ,                           ,
الجريدة              ,newspaper      ,Noun           ,                   ,                           ,
الجيد                ,nice           ,Noun           ,                   ,                           ,
الليل                ,night          ,Noun           ,                   ,                           ,
التسعة               ,nine           ,Noun           ,                   ,                           ,
التسعة عشر           ,nineteen       ,Noun           ,                   ,                           ,
التسعين              ,ninety         ,Noun           ,                   ,                           ,
لا                   ,no             ,Noun           ,                   ,                           ,
ولا                  ,nor            ,Conjunction    ,                   ,                           ,
الشمال               ,north          ,Noun           ,                   ,                           ,
الانف                ,nose           ,Noun           ,                   ,                           ,
المذكرة              ,note           ,Noun           ,on paper           ,                           ,
اللاشيء              ,nothing        ,Noun           ,                   ,                           ,
النووي               ,nuclear        ,Noun           ,                   ,                           ,
الرقم                ,number         ,Noun           ,                   ,                           ,
المحيط               ,ocean          ,Noun           ,                   ,                           ,
المكتب               ,office         ,Noun           ,                   ,                           ,
الزيت                ,oil            ,Noun           ,                   ,                           ,
القديم               ,old            ,Noun           ,/new               ,                           ,
القديم               ,old            ,Noun           ,/young             ,                           ,
الواحد               ,one            ,Noun           ,                   ,                           ,
المائة               ,one hundred    ,Noun           ,                   ,                           ,
المليون              ,one million    ,Noun           ,                   ,                           ,
الألف                ,one thousand   ,Noun           ,                   ,                           ,
أو                   ,or             ,Conjunction    ,                   ,                           ,
البرتقالة            ,orange         ,Noun           ,color              ,                           ,
البرتقالة            ,orange         ,Noun           ,food               ,                           ,
الخارج               ,outside        ,Noun           ,                   ,                           ,
الصفحة               ,page           ,Noun           ,                   ,                           ,
الألم                ,pain           ,Noun           ,                   ,                           ,
الطلاء               ,paint          ,Noun           ,                   ,                           ,
السراويل             ,pants          ,Noun           ,                   ,                           ,
الورقة               ,paper          ,Noun           ,                   ,                           ,
الاباء               ,parent         ,Noun           ,                   ,                           ,
الحديقة              ,park           ,Noun           ,location           ,                           ,
المريض               ,patient        ,Noun           ,                   ,                           ,
النمط                ,pattern        ,Noun           ,                   ,                           ,
السلام               ,peace          ,Noun           ,                   ,                           ,
القلم                ,pen            ,Noun           ,                   ,                           ,
القلم                ,pencil         ,Noun           ,                   ,                           ,
الشخص                ,person         ,Noun           ,                   ,                           ,
الهاتف               ,phone          ,Noun           ,                   ,                           ,
الصورة               ,photograph     ,Noun           ,                   ,                           ,
القطعة               ,piece          ,Noun           ,                   ,                           ,
الخنزير              ,pig            ,Noun           ,                   ,                           ,
وردي                 ,pink           ,Noun           ,                   ,                           ,
الخطة                ,plan           ,Noun           ,                   ,                           ,
الطائرة              ,plane          ,Noun           ,                   ,                           ,
النبات               ,plant          ,Noun           ,                   ,                           ,
البلاستيك            ,plastic        ,Noun           ,                   ,                           ,
الطبق                ,plate          ,Noun           ,                   ,                           ,
اللاعب               ,player         ,Noun           ,                   ,                           ,
الجيب                ,pocket         ,Noun           ,                   ,                           ,
السم                 ,poison         ,Noun           ,                   ,                           ,
الشرطة               ,police         ,Noun           ,                   ,                           ,
المسبح               ,pool           ,Noun           ,                   ,                           ,
الفقير               ,poor           ,Noun           ,                   ,                           ,
لحم الخنزير          ,pork           ,Noun           ,                   ,                           ,
ربما                 ,possibly       ,Adverb         ,                   ,                           ,
الجنيه               ,pound          ,Noun           ,weight             ,                           ,
الرئيس               ,president      ,Noun           ,                   ,                           ,
السعر                ,price          ,Noun           ,                   ,                           ,
الكاهن               ,priest         ,Noun           ,                   ,                           ,
السجن                ,prison         ,Noun           ,                   ,                           ,
خاص                  ,private        ,Adjective      ,                   ,                           ,
البرنامج             ,program        ,Noun           ,computer           ,                           ,
عام                  ,public         ,Adjective      ,                   ,                           ,
الملكة               ,queen          ,Noun           ,                   ,                           ,
الهدوء               ,quiet          ,Noun           ,                   ,                           ,
السباق               ,race           ,Noun           ,ethnicity          ,                           ,
السباق               ,race           ,Noun           ,sport              ,                           ,
الراديو              ,radio          ,Noun           ,                   ,                           ,
المطر                ,rain           ,Noun           ,                   ,                           ,
الاحمر               ,red            ,Noun           ,                   ,                           ,
الدين                ,religion       ,Noun           ,                   ,                           ,
المراسل              ,reporter       ,Noun           ,                   ,                           ,
المطعم               ,restaurant     ,Noun           ,                   ,                           ,
الرز                 ,rice           ,Noun           ,                   ,                           ,
الغني                ,rich           ,Noun           ,                   ,                           ,
الحق                 ,right          ,Noun           ,direction          ,                           ,
الخاتم               ,ring           ,Noun           ,                   ,                           ,
النهر                ,river          ,Noun           ,                   ,                           ,
السطح                ,roof           ,Noun           ,                   ,                           ,
الغرفة               ,room           ,Noun           ,in a house         ,                           ,
الجذر                ,root           ,Noun           ,                   ,                           ,
الحزن                ,sad            ,Noun           ,                   ,                           ,
الملح                ,salt           ,Noun           ,                   ,                           ,
الرمل                ,sand           ,Noun           ,                   ,                           ,
المدرسة              ,school         ,Noun           ,                   ,                           ,
العلم                ,science        ,Noun           ,                   ,                           ,
الشاشة               ,screen         ,Noun           ,                   ,                           ,
البحر                ,sea            ,Noun           ,                   ,                           ,
الفصل                ,season         ,Noun           ,                   ,                           ,
الثاني               ,second         ,Noun           ,2nd                ,                           ,
الثاني               ,second         ,Noun           ,time               ,                           ,
السكرتارية           ,secretary      ,Noun           ,                   ,                           ,
البذور               ,seed           ,Noun           ,                   ,                           ,
السبع                ,seven          ,Noun           ,                   ,                           ,
السبعة عشر           ,seventeen      ,Noun           ,                   ,                           ,
السبعين              ,seventy        ,Noun           ,                   ,                           ,
الجنس                ,sex            ,Noun           ,act                ,                           ,
الجنس                ,sex            ,Noun           ,gender             ,                           ,
الضحلة               ,shallow        ,Noun           ,                   ,                           ,
هي                   ,she            ,Noun           ,                   ,"her, hers, herself"       ,
السفينة              ,ship           ,Noun           ,                   ,                           ,
القميص               ,shirt          ,Noun           ,                   ,                           ,
الأحذية              ,shoes          ,Noun           ,                   ,                           ,
قصيرة                ,short          ,Adjective      ,long               ,                           ,
قصيرة                ,short          ,Adjective      ,vs. tall           ,                           ,
الكتف                ,shoulder       ,Noun           ,                   ,                           ,
المرضى               ,sick           ,Noun           ,                   ,                           ,
الجانب               ,side           ,Noun           ,                   ,                           ,
الإشارة              ,sign           ,Noun           ,                   ,                           ,
الفضة                ,silver         ,Noun           ,                   ,                           ,
الأخت                ,sister         ,Noun           ,                   ,                           ,
ستة                  ,six            ,Noun           ,                   ,                           ,
الستة عشر            ,sixteen        ,Noun           ,                   ,                           ,
الستين               ,sixty          ,Noun           ,                   ,                           ,
الجلد                ,skin           ,Noun           ,                   ,                           ,
التنورة              ,skirt          ,Noun           ,                   ,                           ,
السماء               ,sky            ,Noun           ,                   ,                           ,
البطئ                ,slow           ,Noun           ,                   ,                           ,
الصغير / الصغير      ,small/little   ,Noun           ,                   ,                           ,
الثلج                ,snow           ,Noun           ,                   ,                           ,
الصابون              ,soap           ,Noun           ,                   ,                           ,
اللين                ,soft           ,Noun           ,                   ,                           ,
التربة / الأرض       ,soil/earth     ,Noun           ,                   ,                           ,
الجندي               ,soldier        ,Noun           ,                   ,                           ,
الإبن                ,son            ,Noun           ,                   ,                           ,
الأغنية              ,song           ,Noun           ,                   ,                           ,
الصوت                ,sound          ,Noun           ,                   ,                           ,
الحساء               ,soup           ,Noun           ,                   ,                           ,
الجنوب               ,south          ,Noun           ,                   ,                           ,
الفضاء               ,space          ,Noun           ,outer space        ,                           ,
الملعقة              ,spoon          ,Noun           ,                   ,                           ,
الرياضة              ,sport          ,Noun           ,                   ,                           ,
الربيع               ,spring         ,Noun           ,season             ,                           ,
المربع               ,square         ,Noun           ,                   ,                           ,
